Title,Distributor,Release Date,Budget,Opening weekend,North America,Other,Worldwide
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,May 5 2017,$200 ,"$146,510,104 ","$389,813,101 ","$473,942,950 ","$863,756,051 "
Spider-Man: Homecoming,Sony Pictures,July 7 2017,$175 ,"$117,027,503 ","$334,201,140 ","$545,965,784 ","$880,166,924 "
Inhumans,IMAX Entertainment,September 1 2017,N/A,"$1,500,000 ","$1,521,787 ","$1,330,495 ","$2,852,282 "
Thor: Ragnarok,Walt Disney Studios Motion Pictures,November 3 2017,$180 ,"$122,744,989 ","$315,058,289 ","$538,918,837 ","$853,977,126 "
Black Panther,Walt Disney Studios Motion Pictures,February 16 2018,$200 ,"$202,003,951 ","$700,059,566 ","$646,853,595 ","$1,346,913,161 "
Avengers: Infinity War,Walt Disney Studios Motion Pictures,April 27 2018,$316 ,"$257,698,183 ","$678,815,482 ","$1,369,544,272 ","$2,048,359,754 "
Deadpool 2,20th Century Fox,May 18 2018,$110 ,"$125,507,153 ","$324,591,735 ","$460,455,185 ","$785,046,920 "
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,July 6 2018,$162 ,"$75,812,205 ","$216,648,740 ","$406,025,399 ","$622,674,139 "
Venom,Sony Pictures,October 5 2018,$100 ,"$80,255,756 ","$213,515,506 ","$641,498,448 ","$855,013,954 "
Spider-Man: Into the Spider-Verse,Sony Pictures,December 14 2018,$90 ,"$35,363,376 ","$190,241,310 ","$185,299,521 ","$375,540,831 "
Captain Marvel,Walt Disney Studios Motion Pictures,March 8 2019,$152 ,"$153,433,423 ","$426,829,839 ","$701,444,955 ","$1,128,274,794 "
Avengers: Endgame,Walt Disney Studios Motion Pictures,April 26 2019,$356 ,"$357,115,007 ","$858,373,000 ","$1,937,901,401 ","$2,797,800,564 "
Dark Phoenix,20th Century Fox,June 7 2019,$200 ,"$32,828,348 ","$65,845,974 ","$186,597,000 ","$252,442,974 "
Spider-Man: Far From Home,Sony Pictures,July 2 2019,$160 ,"$92,579,212 ","$390,532,085 ","$741,395,911 ","$1,131,927,996 "
The New Mutants,20th Century Studios,August 28 2020,$67 ,"$7,037,017 ","$23,855,569 ","$24,819,497 ","$48,675,066 "
Black Widow,Walt Disney Studios Motion Pictures,July 9 2021,$200 ,"$80,366,312 ","$183,651,665 ","$195,979,696 ","$379,631,351 "
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,September 3 2021,$150 ,"$75,388,688 ","$224,543,292 ","$207,700,000 ","$432,243,292 "
Venom: Let There Be Carnage,Sony Pictures,October 1 2021,$110 ,"$90,033,210 ","$213,550,366 ","$288,500,000 ","$502,050,366 "
Eternals,Walt Disney Studios Motion Pictures,November 5 2021,$200 ,"$85,021,497 ","$164,870,234 ","$237,194,665 ","$402,064,899 "
Spider-Man: No Way Home,Sony Pictures,December 17 2021,$200 ,"$260,138,569 ","$780,418,859 ","$1,072,000,000 ","$1,852,418,859 "
Total,Total,Total,"$8,424 ","$5,688,487,114 ","$15,809,734,872 ","$24,430,137,918 ","$40,239,878,672 "
Average,Average,Average,$142.35 ,"$83,992,268 ","$228,139,366 ","$344,915,384 ","$573,054,859 "
